year_radica,count_a,count_de,tipo_predio_zona,categoria_ruralidad_2024,valor
2022,1,1,URBANO,Ciudades y aglomeraciones,2016000000
2021,2,1,URBANO,Ciudades y aglomeraciones,188000000
2022,1,1,URBANO,Ciudades y aglomeraciones,240000000
2022,2,1,URBANO,Ciudades y aglomeraciones,450000000
2023,2,2,URBANO,Ciudades y aglomeraciones,4200000.0
2023,2,4,URBANO,Ciudades y aglomeraciones,400000000
2023,2,4,URBANO,Ciudades y aglomeraciones,400000000
2023,2,4,URBANO,Ciudades y aglomeraciones,400000000
2022,1,1,URBANO,Ciudades y aglomeraciones,1324999940
2021,1,1,URBANO,Ciudades y aglomeraciones,845000000
2022,1,1,URBANO,Ciudades y aglomeraciones,1295000060
2022,1,11,URBANO,Ciudades y aglomeraciones,264000000
2023,4,2,URBANO,Ciudades y aglomeraciones,300000000
2022,1,4,URBANO,Ciudades y aglomeraciones,492000000
2022,2,2,URBANO,Ciudades y aglomeraciones,110000000
2023,1,1,URBANO,Ciudades y aglomeraciones,730000000
2022,1,2,URBANO,Ciudades y aglomeraciones,1530000000
2022,1,2,URBANO,Ciudades y aglomeraciones,2315000060
2023,2,2,URBANO,Ciudades y aglomeraciones,1100000000
2023,1,1,URBANO,Ciudades y aglomeraciones,1850000000
2022,1,2,URBANO,Ciudades y aglomeraciones,926000000
2023,2,2,URBANO,Ciudades y aglomeraciones,1450000000
2022,1,1,URBANO,Ciudades y aglomeraciones,800000000
2022,1,2,URBANO,Ciudades y aglomeraciones,242000000
2023,6,6,URBANO,Ciudades y aglomeraciones,2140891010
2022,2,9,URBANO,Ciudades y aglomeraciones,850000000
2022,1,1,URBANO,Ciudades y aglomeraciones,40000000
2023,16,2,URBANO,Ciudades y aglomeraciones,561529980
2021,0,2,URBANO,Ciudades y aglomeraciones,200000000
2022,1,1,URBANO,Ciudades y aglomeraciones,800000000
2021,2,2,URBANO,Ciudades y aglomeraciones,540000000
2023,2,7,URBANO,Ciudades y aglomeraciones,700000000
2022,1,1,URBANO,Ciudades y aglomeraciones,191238000
2023,1,3,URBANO,Ciudades y aglomeraciones,98000000
2023,4,2,URBANO,Ciudades y aglomeraciones,530000000
2023,1,2,URBANO,Ciudades y aglomeraciones,107500000
2022,1,7,URBANO,Ciudades y aglomeraciones,810000000
2021,1,1,URBANO,Rural,6000000.0
2021,1,1,URBANO,Ciudades y aglomeraciones,800000000
2021,3,1,URBANO,Ciudades y aglomeraciones,490000000
2023,4,2,URBANO,Ciudades y aglomeraciones,192000000
2022,2,1,URBANO,Ciudades y aglomeraciones,298000000
2023,2,1,URBANO,Ciudades y aglomeraciones,610000000
2022,1,1,URBANO,Ciudades y aglomeraciones,500000000
2023,1,2,URBANO,Ciudades y aglomeraciones,600000000
2023,2,1,URBANO,Ciudades y aglomeraciones,610000000
2021,2,13,URBANO,Ciudades y aglomeraciones,600000000
2023,1,2,URBANO,Ciudades y aglomeraciones,600000000
2022,1,1,URBANO,Ciudades y aglomeraciones,500000000
2023,1,1,URBANO,Ciudades y aglomeraciones,700000000
2022,1,1,URBANO,Ciudades y aglomeraciones,3150000.0
2021,1,1,URBANO,Ciudades y aglomeraciones,780000000
2023,2,2,URBANO,Ciudades y aglomeraciones,826000000
2023,1,4,URBANO,Ciudades y aglomeraciones,132000000
2023,2,2,URBANO,Ciudades y aglomeraciones,1100000000
2023,1,1,URBANO,Ciudades y aglomeraciones,13144000
2023,1,1,URBANO,Ciudades y aglomeraciones,13144000
2023,1,1,URBANO,Ciudades y aglomeraciones,13144000
2023,2,9,URBANO,Ciudades y aglomeraciones,322716000
2022,1,1,URBANO,Ciudades y aglomeraciones,90000000
